,Reference Code,year,Sentence Output,Answer
0,S-0001,," to make out the most of the project, we will consult the clients for the details they need, giving out the optimal solution for both parties.the google adsense service we use to serve advertising uses a doubleclick cookie to serve more relevant ads across the web and limit the number of times that a given ad is shown to you.that is the nameless of the seventh product, not the ordinary seventh product in everyone what happens if you take two extenze pills a day that is the nameless of the seventh product, not the ordinary seventh product in everyone what happens if you take two extenze pills a day ","['optimal solution for both parties', 'google adsense', 'extenze pills']"
1,S-0003,1998," the professional services division includes project managers, consultants, gis specialists, system analysts, developers, trainers and the customer support staff providing full project life - cycle services at competitive rates and rapid turnaround time to facilitate your project progress, resulting in achieving better business goals.",['full project life - cycle services']
2,S-0004,2017,euclideon udsdk allows you to take advantage of euclideon ’ s 3d rendering capabilities and integrate this into your own solution.euclideon pty ltd is committed to providing you with the best possible customer service experience.,"['euclideon udsdk', 'customer service experience']"
3,S-0005,1974,"in 2009 infa was awarded a contract by roadshow media limited as the solution provider for the wireless multi - media on board project.some of our products : 3g mobile boradband solution synchronised we deliver products that are readily available through partnership and alliances, and we design, develop, and integrate niche solution so that we are in competitive position to offer complete solution to our customers.","['wireless multi - media on board', '3g mobile boradband solution synchronised']"
4,S-0006,,"innovation gps ( [UNK] [UNK] [UNK] [UNK] ) interviewed lands department of hong kong government about its services of satref.to further strengthen the product portfolio of strobus, strobus takes up the var right of cat phone.","['satref', 'cat phone']"
5,S-0007,1997,"since 2003, we has provided remote access service, appointment for free access service and instant feedback from our professionals.","['remote access service, appointment for free access service and instant feedback from our professionals']"
6,S-0009,,"throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.system corporations & partnerships integration of existing iot solutions or products with location based services technology one - stop service throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.system corporations & partnerships integration of existing iot solutions or products with location based services technology one - stop service throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.","['one - stop service', 'one - stop service', 'one - stop service']"
7,S-0014,," gender gender female a saas cloud - based ai solution that can connect most video cameras to acquire, evaluate and interpret are they attracted by the promotion products?","['saas cloud - based ai solution', 'promotion']"
8,S-0021,1985," through the exchange of international contacts, project management skills, technical talents, ",['management']
9,S-0022,, solutions. why are we : • friendly interface and easy to use • improve service level features :,"['solutions', 'improve service level features']"
10,S-0023,2014," customize your system build a custom point of sales, self service kiosk, or any other in - person payment solution with our api.customize your system build a custom point of sales, self service kiosk, or any other in - person payment solution with our api.","['in - person payment solution with our api', 'self service kiosk']"
11,S-0024,1961,"our system provides patients and health care workers with sanitary and safe waste collection solutions.the legal basis for our processing of personal data is a legitimate interest in marketing our services and products, communicating with customers, suppliers, and other stakeholders as well as offering an interesting, safe and user - friendly website.","['sanitary and safe waste collection solutions', 'website']"
12,S-0026,2012,"we design a detailed project schedule catered specifically towards your stated criteria. a technology company focusing on providing leading marketing technology ( martech ) platforms, solutions and services using big data technologies - ranging from programmatic advertising platform for optimized customer acquisitions to customer data platform for complex customer segmentation and analytics. what you need is to define the campaign criteria in step 1, then you have to describe your products in step 2, and finally you have to provide your ad creatives in step 3.","['detailed project schedule', 'programmatic advertising platform for optimized customer acquisitions', 'ad creatives']"
13,S-0028,2013,"automate your business by award - winning erp solution press interview of appcider by rthk appcider was being interviewed by rthk e - line financial network to present the company ’ s establishment process, our new generation cloud supply chain system, and how the team can help customers solve operational problems, product advantages, operating models, shipany logistics platform, and future directions.",['cloud supply chain system']
14,S-0029,2016," the digital transformation of the construction industry timely feedback to the cloud management platform, so that the entire construction project is intelligent, visual, and digital. news may 2020 new product – using the iot technology, we create smart products improving the health & safety of workers and management of construction sites.","['feedback', 'smart products']"
15,S-0030,2003,"bottom neck - interference between multi - tech in single reader octopus technology have not only used in mono - tech reader, but also have already been successfully implied to multi - tech reader an important step in making everyday life easier in hong kong ’ s building access services using iso 9001 helps ensure that customers get consistent, good - quality products and services, i. e. acx access reader and smart building system, which in turn brings many business benefits.using iso 9001 helps ensure that customers get consistent, good - quality products and services, i. e. acx access reader and smart building system, which in turn brings many business benefits.","['smart building system', 'acx access reader']"
16,S-0031,2008,satiate your customers with spot - on services,['spot - on services']
17,S-0032,,"this equipment - replacement project was special exactly because it demanded a cross - disciplinary specialist team to commission.we are well - versed in latest air purification, smart building, and internet - of - things technologies, giving you an effective and energy efficient solution to any of your indoor air quality problem./ woofaa woofaa provides specialist indoor air quality management solutions and products for household, educational, communal and commercial applications.","['equipment - replacement', 'effective and energy efficient', 'specialist indoor air quality management solutions']"
18,S-0033,1977,"atal has supplied and installed a wide range of intelligent and green solutions in the hong kong science park phase 2 & 3 project, including integrated building management bms, audiovisual and solar photovoltaics system installation and has helped the project achieve platinum ratings for both beam plus and leed green building certification.they include design, installation, testing and commissioning and maintenance of heating, ventilation and air - conditioning ( hvac ) systems, fire services systems, plumbing and drainage systems, electrical and elv systems and combined e & m engineering services for a wide range of buildings – commercial, residential, industrial, entertainment, utility, and educational – and the sourcing and provision of products for building services.","['hong kong science park phase 2 & 3', 'heating, ventilation and air - conditioning']"
19,S-0034,," modern it technology would be involved in all your it project we can provide project management and consultant services to our valuable customers. our main services included r & d, solutions & systems integration and it professional services.","['it', 'it professional services']"
20,S-0039,, wildfaces recently completed a project for the hong kong prisons where they wanted to detect suicide attempts.,['detect suicide attempts']
21,S-0041,,"utilising our dxp product, you will be able to engage users across all devices via a unified web experience.",['dxp']
22,S-0042,,"in addition to the supply of products and engineered systems, our team can provide full project management allowing you to have a single point of contact for managing the sub - contractor scope, schedule and budget for your projects.data communications : our engineers can provide solutions to your data communications problems, through supply of media and protocol converters rfid work - flow analysis : anything we propose or do must work towards your ultimate business goals such as cost reduction, increased asset visibility, or improved security.we offer a comprehensive set of services for you company for all phases of your product and business development.in addition to the supply of products and engineered systems, our team can provide full project management allowing you to have a single point of contact for managing the sub - contractor scope, schedule and budget for your projects.","['our team can provide full project management', 'data communications : our engineers can provide solutions to your data communications problems', 'all phases of your product and business development', 'full project management']"
23,S-0043,," we offer a complete service which includes project scoping, wire - framing, design, workflow design, testing, support and deployment. our ecommerce web solution includes complete shopping components. we offer a complete service which includes project scoping, wire - framing, design, workflow design, testing, support and deployment.","['scoping', 'ecommerce web solution', 'project scoping']"
24,S-0044,,"supper moment – in this project, we use custom dataset to train a neural network ( yolov3 ) to detect custom objects such as : baby in this project, we use custom dataset to train a neural network ( yolov3 ) to detect custom objects such as : baby stroller, wheelchair, suitcase and escalator entrance. artificial intelligence a create tailor - made object recognition solution for clients. you may use information on sebit products and services purposely made available by sebit for downloading from the site, provided that you ( 1 ) not remove any proprietary notice language in all copies of such documents, ( 2 ) use such information only for your personal, non - commercial informational purpose and don't copy or post such information on any networked computer or broadcast it in any media, ( 3 ) make no modifications to any such information, and ( 4 ) not make any additional representations or warranties relating to such documents.you may use information on sebit products and services purposely made available by sebit for downloading from the site, provided that you ( 1 ) not remove any proprietary notice language in all copies of such documents, ( 2 ) use such information only for your personal, non - commercial informational purpose and don't copy or post such information on any networked computer or broadcast it in any media, ( 3 ) make no modifications to any such information, and ( 4 ) not make any additional representations or warranties relating to such documents.","['supper moment', 'object recognition', 'non - commercial informational purpose', 'sebit']"
25,S-0045,1972,"* partner ecosystem benefit from specialist expertise to guide your sap commerce cloud project.never stop delivering supply chain solutions from sap give you visibility and flexibility, so you can always come through for your customers.","['sap commerce cloud', 'never stop delivering supply chain solutions']"
26,S-0054,," presence of businesses whether you need to manage cost, infrastructure capacity, and agility of resources or simply improve latency and performance issues, we offer a wide - range of cloud solutions to best fit your business.",['cloud solutions']
27,S-0055,," being a member of nlse group which specialize in e & m infrastructure projects for more than 20 years, evmega is backed by a team of professionals with domain knowledge, experience and successful job execution capability. evmega always provide one stop service for all your ev charger concern consultation and solution charger installation","['e & m infrastructure', 'one stop service']"
28,S-0056,2014,"they are not only providing a strategic opinion, but also execute it with the client and follow it through the whole project.visionary planning consultation services are the next strategic offering from leading edge group. offers customer 360 & consumerization right product, promotion, at right time similarity search in inventory faster innovation for customer experience 2.","['strategic opinion', 'visionary planning consultation', 'similarity search in inventory']"
29,S-0057,2016, our client relationships don ’ t end with the completion of a project. quality policy to commit for providing perfect and competitive product and service and to satisfy every aspect of customer's needs.quality policy to commit for providing perfect and competitive product and service and to satisfy every aspect of customer's needs.,"['client', 'perfect and competitive product and service', 'perfect and competitive']"
30,S-0058,1885,"our tailor - made projects include : size measurement send us a request intertek provides up - to - date technical training seminars sharing the latest information on regulations, product standards, basic textile fundamentals, textile testing, labeling, and more with clients both on - and off - site.","['size measurement', 'up - to - date technical training seminars']"
31,S-0061,, increased productivity reduced cost customized solution better support achievements micology is devoted to provide top quality solutions for total satisfaction.,['customized solution']
32,S-0062,,"provides smart city solutions that aim to benefit urban citizens around the world by innovative eco - oriented solutions based on sharing economy we have soft - / hardware solutions for drivers, parking owners and car producers.",['soft - / hardware solutions']
33,S-0063,2010, okay to continue zte,['zte']
34,S-0070,2017," as educator, i also enjoy working with them on their education project. real - time monitoring and data collection multiple sensors to detect status or defect such as filter status and leakage issue real - time monitoring by a dedicated service team comprehensive data collection and analytics for reporting and modelling words from clients dbs bank and urban spring share the same vision of focusing on innovation and data to contribute to our society for a better world.","['education', 'real - time monitoring and data collection']"
35,S-0071,1992," in order to design and plan for a long - term it infrastructure project, you need to consider multiple factors, including equipment brands that can fit your budget constraints.dcl specializes in providing network consultancy, network solution design and implementation services for your critical network infrastructure.our campus infrastructure solution and services includes the design, planning and implementation of the following : network infrastructure for campus buildings structured cabling system for inter and intra buildings dcl specializes in providing network consultancy, network solution design and implementation services for your critical network infrastructure.bachmann products in your favourite colour headquartered in stuttgart, germany, the bachmann group develops, manufactures and distributes products and services for various fields of application, including : • electronic components and systems, such as intelligent power distribution units • emotional products such as award - winning desk connection panels besides passive and basic pdus, bachmann also offers a complete solution for rack - based power distribution in your data centre, in the form of the bluenet bn3000 – bn7500 intelligent product series.","['it infrastructure project', 'network consultancy, network solution design and implementation services', 'network consultancy, network solution design and implementation services', 'bluenet bn3000 – bn7500 intelligent product series']"
36,S-0075,2002,"altai offers a complete solution for cost - effective 3g and lte offloading, which seamlessly integrates its wifi solution into any mobile operator ’ s cellular network.this page provides ap firmware and manuals of the following products :","['cost - effective 3g and lte offloading', 'firmware and manuals']"
37,S-0077,,"shorter lead time to rolling out smart metering projects, product flexibility and ease of deployment provide reduced upfront network investment.· send you a newsletter.","['reduced upfront network investment', 'send you a newsletter']"
38,S-0079,2011,"• prepare presentation to project stakeholders, and provide training and assistance to users.you will help build business solutions that work for commercial segments, [UNK] to get immersed in our dynamic, innovative and dynamic culture!ultrafast laser diamond subsurface marking service md also provides ultrafast laser diamond marking service.","['training and assistance to users', 'business solutions that work for commercial segments', 'ultrafast laser diamond marking service']"
39,S-0082,, the solution enables your support staff to work in parallel with human agents in resolving both simple and complex inquiries powered by natural language processing technologies.,['natural language processing technologies']
40,S-0091,2007,"the company has a strong vision of providing one - stop reliable solution to achieve the goal of fiber - to - the - home ( ftth ), fiber - to - the - curb ( fttc ) and fiber - to - the - building ( fttb ) globally for metro and access networks.com single fiber : 32 nodes, over 100 users 20km serviceable range en - route electricity free triplay service ready centralized network management / bandwidth control in - service scalability and upgrading for sales enquiry u features : wdm technology simple bus network architecture compatibility with different service providers :suite 2611, office tower sales and marketing enquiry : please feel free to contact us for any enquiries and quotation request about our products and solutions via the on - line form below or email : ","['one - stop reliable solution', 'electricity free triplay', 'office tower sales and marketing']"
41,S-0092,," we have created a secure, automatic network solution that demands no networking or programming experience to use.","['secure, automatic network solution']"
42,S-0096,," engine unlike many of the solutions in the market, we develop our own nlp engine with our algorithms. resolution grows beyond today, so as your services your services will never stay the same from the day it starts with clare.","['nlp engine', 'resolution']"
43,S-0097,," from time to time, andesfit may contact the user to announce the release of its new products or services ; contact about special offers andesfit : if the user has chosen at the time of registration, the provider may contact in order to present special offers andesfit ; contact about andesfit partner offers.",['andesfit']
44,S-0099,,"we aim to provide competitive iot solution using our expertise in wireless and sensors our partners enquiries to schedule a product demo or know more about our solutions and services, please fill in your contact details submit hong kong science park  your subscription fee provides professional services from embedded design ( hardware and firmware ) to cloud server solution. to schedule a product demo or know more about our solutions and services, please fill in your contact details submit hong kong science park ","['competitive iot solution', 'cloud server solution', 'demo']"
45,S-0100,2017,euclideon udsdk allows you to take advantage of euclideon ’ s 3d rendering capabilities and integrate this into your own solution.euclideon pty ltd is committed to providing you with the best possible customer service experience.,"['euclideon udsdk', 'customer service experience']"
46,S-0102,,contact one of our solutions experts to get the ball rolling.,['contact one of our solutions experts to get the ball rolling']
47,S-0104,,"finding an edge for next week client pitch, ideas to improve a product, solutions to unlock a difficult client, check what is working best for others, ask for the missing piece in your analysis, etc.however, if applicable law requires litbulb to comply with your request to delete your information, fulfillment of your request may prevent you from using litbulb services and may result in closing your account. finding an edge for next week client pitch, ideas to improve a product, solutions to unlock a difficult client, check what is working best for others, ask for the missing piece in your analysis, etc.","['solutions to unlock a difficult client', 'litbulb', 'ideas to improve a product']"
48,S-0105,,"from start to finish, they have been very accessible and supportive, and their project lead could always intelligently understand what we need and layout the best possible options available for us.the skillset required for developing a location - based mobile application is niche and gianthouse is capable to provide solution to the full cycle of software development – from discussing user requirements to launching the product in an agile and collaborative manner.we offer high quality, secure & custom ecommerce development services and solutions for businesses.there has been vigorous communication with gianthouse ’ s product team during the development, and the final product was beyond satisfaction.","['project lead', 'gianthouse is capable to provide solution to the full cycle of software development', 'high quality, secure & custom ecommerce development', 'beyond satisfaction']"
49,S-0106,1987,"we provide project consultation, proof of concept, project implementation, and post - implementation servicing, tailored to your business needs.the gr - 20cp solution is ideally suited for transporting items placed within bins or totes, in production, warehouse, and distribution centres.we focus on developing our core technology – building robotics products and offering turnkey automation solutions to help businesses scale up with industry 4. 0","['project consultation, proof of concept, project implementation, and post - implementation servicing', 'gr - 20cp', 'turnkey automation solutions']"
50,S-0107,, smart technology | value experience | sustainable solutions story 180c was born from the desire to create better technology management solution for the hundreds of mobile devices of schools.,['sustainable']
51,S-0108,2001, final specifications will be based on customer requirement / specification and frozen on project sign - off.,['customer']
52,S-0109,, deep - learning based solution with high accuracy under harsh lighting conditions in mobile environment.,['deep - learning based solution']
53,S-0112,2012," an end - to - end solution customized for you pyxis and lr are here to serve all your monitoring needs - from providing customized monitoring devices and access platforms to their installation and maintenance. workplace safety and productivity structure living out its service life, you can count on pyxis before construction begins during construction after construction at the end of service life we will provide maintenance and re - calibration services to ensure a trouble free monitoring experience.","['end - to - end', 'maintenance and re - calibration services']"
54,S-0115,2017," eased pressure of event helpers at check - in zone during peak hour project team efficiently and successfully accomplished this development project in 3 - month time and created a leading standard for the event technology industry. localize your events in asia, including china with eventxtra ’ s virtual events solution, you can grow your business from anywhere. since most event software vendors provide their services as “ saas ”, event vendors should cover implementation services and after - sales support.","['eased pressure of event helpers at check - in zone during peak hour', 'eventxtra ’ s virtual events solution', 'implementation services and after - sales support']"
55,S-0116,, 1o1o provides a one - stop handset data - transfer solution to move info and content from old to new mobile device and erase data from your old phone.,['one - stop handset data - transfer solution']
56,S-0118,,"we can now deliver digital - first solutions that improve our customer experience.siemens energy partners with alteryx, allowing increased scaling in our company and providing self - service analytics to a wider group of our employees, making their daily work more efficient and enhancing our way of working.","['digital - first solutions', 'self - service analytics']"
57,S-0119,,"the free gcp trial is over and as unfortunately more budget cannot be allocated for the project in order to continue using these services, the functionality of ziizau will be suspended for indefinite time! this project uses services of google cloud platform.","['ziizau', 'google cloud']"
58,S-0123,,"robert fairlie - cuninghame, qai technical lead / architect, memjet polycom ncipher * provided the expertise needed to design and implement a tailored, secure voip solution. verifone ’ s strategy is to develop and deploy “ best in class ” payment solutions and services that meet or exceed global security standards and help our clients securely accept electronic payments across all channels of commerce. the excellent depth, breatdth, and quality of the product documentation gave us confidence that the solution was well though - out and supported.","['secure voip solution', 'best in class', 'documentation']"
59,S-0124,," multi - layer about mindlayer mindlayer provides a seamless and ai - powered customer service solution that leverages its premium natural language processing ( nlp ) engine and trilingual chatbot technology. multi - layer about mindlayer mindlayer provides a seamless and ai - powered customer service solution that leverages its premium natural language processing ( nlp ) engine and trilingual chatbot technology.we populate our products at any touchpoint in your customer ’ s digital journey, maintain customer service integrated into multichannel, your company website and numerous social media sites.","['customer service solution', 'customer service solution', 'customer service']"
60,S-0125,,it is our pleasure to deliver a passenger counting solution for citybus.e tag is responsible to deliver a hardware and software integration services.,"['passenger counting solution', 'hardware and software integration']"
61,S-0126,2005,"ottl has been supporting digital voice recording systems in mtr since 2005, and ottl contributed to the continuous improvement exercise in mtr and assisted the imd department of mtr to prepare the project "" to improve the remote access and diagnostic method of digital voice recording system ( dvrs ) "" and the team got the silver award eventually.ottl brings the new product, the next generation firewall ( ngfw ), from sangfor.","['to improve the remote access and diagnostic method of digital voice recording system', 'next generation firewall']"
62,S-0127,," in this extraordinary period evention is your one - stop ultimate event management solution. personalised services supported with quality, reliable, innovative and value - added solutions tailored to your needs.","['evention', 'personalised services']"
63,S-0128,,"capture customer insights and provide personalized customer service employ video to capture and analyze customer demographics and their interactions with the shop environment, to understand more about customer behavior and optimize your business strategies greet vip customers personally and “ spontaneously ” upon their arrival greater operational efficiency, provides faster response and workflow automation by utilizing video to cover previously obscured areas and the creation of automatic alerts, users can trigger faster response to amend any defects.",['personalized customer service']
64,S-0130,,the term used for this type of solution is cloud microservices.,['cloud microservices']
65,S-0131,2015," all functions you need to monitor and participate in projects, the system provides. iss project management is an all - in - one solution, you don't need to further integrate with other software.we provide end to end service on data analytics, from data collection to prediction model delivery our analytics services sentiment analysis  over the years, we have developed our own software products : iss accounting system and iss project management system.","['all functions you need to monitor and participate in projects', 'iss project management', 'data analytics', 'iss accounting system and iss project management system']"
66,S-0133,," et de transparence dans le numerique, notamment avec notre solution pyguard!",['notre solution pyguard']
67,S-0134,, the collaboration will combine envision digital ’ s world - class aiot operating system with ibm ’ s sustainability solutions to overcome challenges in creating sustainable urban infrastructure singapor...,['sustainability']
68,S-0137,2003,"in this project, uds provide a unique approach to enhance the original window authentication to a multi factor authentication approach.we provide strong multi factor authentication ( such as contactless smartcard, contact smartcard, fingerprint, pin, pki ) solution for remote access ( i. e vpn, outlook web access, citrix, iis ), windows logon and physical door access.in addition to our product offering, uds also provides professional services including project management, customization, consultation, integration and implementation.","['a unique approach to enhance the original window authentication to a multi factor authentication approach', 'strong multi factor authentication', 'project management, customization, consultation, integration and implementation']"
69,S-0144,," built - in support for almost any cloud storage services such as openstack, rackspace, amazon, microsoft azure, google cloud storage including end - user applications like box, dropbox, onedrive, google drive, etc.",['cloud storage']
70,S-0147,," miot focus on non - optical and privacy - aware people - sensing solutions, supporting nation - wide smart city implementation, with our profile and expertise in fields of millimetre - wave radar analysis, lidar measurement, time - of - flight ( tof ) sensing and social distancing systems. our product and service proves valuable for any property owner, developer or management. our product and service proves valuable for any property owner, developer or management.","['non - optical and privacy - aware people - sensing solutions', 'our product and service proves valuable for any property owner, developer or management', 'service']"
71,S-0150,2008," hong kong codaplant codaplant is a digital agency based in hong kong since 2008, we provide full digital solution to clients from startups companies to listed companies.we also provided value added service, copy writing to deliver professional text content for their corporate image to reflect.we focus on developing software product that create value for you.","['full digital solution', 'copy writing', 'software']"
72,S-0152,," from data labeling, ai model customization & validation, to business process automation, datax provides complete platform services to effectively handle or offload the manual work & development needs.",['complete platform services']
73,S-0155,2016,enterprise chatbot solution sanuker wins the heart of our project owners as our solution answers directly to the everyday challenges that fellow project owners are facing : how to best use the resources to achieve a higher roi?,['enterprise chatbot solution sanuker']
74,S-0156,2014,the airport put the project out for bid and selected a robotics vendor to pilot the use of autonomous floor scrubbers. avidbots provides a soup - to - nuts solution that you won ’ t find in other robotic floor scrubbers.,"['autonomous floor scrubbers', 'avidbots provides a soup - to - nuts']"
